Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
scuderia-ferrari-wled-light-box,Scuderia Ferrari F1 WLED Light Box,"<p>Illuminate your space with the glowing prancing horse. Features addressable WLED lighting with remote and app control, custom carbon-style framing, and acrylic panels.</p>",PITWALL,,WLED Light Boxes,"Ferrari, Light Box, WLED, Best Seller",true,Title,Default Title,,,,,,,shopify,100,deny,manual,4499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/wled_light_boxes.png,1,Scuderia Ferrari F1 WLED Light Box,false,,,,,,,,,,,,,,,,,,,,,,active
red-bull-racing-wled-light-box,Red Bull Racing F1 WLED Light Box,"<p>Drenched in racing energy, this high-fidelity WLED acrylic light box shines in classic charging bull styling with speed animation modes.</p>",PITWALL,,WLED Light Boxes,"Red Bull, Light Box, WLED",true,Title,Default Title,,,,,,,shopify,100,deny,manual,4499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/wled_light_boxes.png,1,Red Bull Racing F1 WLED Light Box,false,,,,,,,,,,,,,,,,,,,,,,active
mclaren-f1-wled-light-box,McLaren F1 WLED Light Box,<p>Papaya pride on your wall. High-precision laser-cut acrylic with custom addressable LED tracks simulating speed telemetry.</p>,PITWALL,,WLED Light Boxes,"McLaren, Light Box, WLED",true,Title,Default Title,,,,,,,shopify,100,deny,manual,4499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/wled_light_boxes.png,1,McLaren F1 WLED Light Box,false,,,,,,,,,,,,,,,,,,,,,,active
mercedes-f1-wled-light-box,Mercedes-AMG F1 WLED Light Box,<p>Brushed black and neon teal framing highlighting the silver star logo with dynamic pulse modes.</p>,PITWALL,,WLED Light Boxes,"Mercedes, Light Box, WLED",true,Title,Default Title,,,,,,,shopify,100,deny,manual,4499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/wled_light_boxes.png,1,Mercedes-AMG F1 WLED Light Box,false,,,,,,,,,,,,,,,,,,,,,,active
monaco-circuit-wled-light-box,Monaco GP Track Silhouette WLED Light Box,<p>The legendary streets of Monte Carlo outlined in neon speed dashes. Sound-reactive WLED layout.</p>,PITWALL,,WLED Light Boxes,"Track Art, Light Box, WLED, Monaco",true,Title,Default Title,,,,,,,shopify,100,deny,manual,5499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/wled_light_boxes.png,1,Monaco GP Track Silhouette WLED Light Box,false,,,,,,,,,,,,,,,,,,,,,,active
scuderia-ferrari-sf-24,Scuderia Ferrari SF-24 Scale Model Car,"<p>Premium collectible replica of the Scuderia Ferrari SF-24. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Ferrari, SF-24, Model Car, Scale Model",true,Scale,1:64,Stand Option,None,,,CAR-164-NON-SCUD,,shopify,50,deny,,1499.7,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/ferrari.png,1,,,,,,,,,,,,,,,,,,,,,,,,active
scuderia-ferrari-sf-24,Scuderia Ferrari SF-24 Scale Model Car,"<p>Premium collectible replica of the Scuderia Ferrari SF-24. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Ferrari, SF-24, Model Car, Scale Model",true,Scale,1:64,Stand Option,Desk Stand,,,CAR-164-DES-SCUD,,shopify,50,deny,,2498.7,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
scuderia-ferrari-sf-24,Scuderia Ferrari SF-24 Scale Model Car,"<p>Premium collectible replica of the Scuderia Ferrari SF-24. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Ferrari, SF-24, Model Car, Scale Model",true,Scale,1:24,Stand Option,None,,,CAR-124-NON-SCUD,,shopify,50,deny,,3499.3,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
scuderia-ferrari-sf-24,Scuderia Ferrari SF-24 Scale Model Car,"<p>Premium collectible replica of the Scuderia Ferrari SF-24. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Ferrari, SF-24, Model Car, Scale Model",true,Scale,1:24,Stand Option,Desk Stand,,,CAR-124-DES-SCUD,,shopify,50,deny,,4498.3,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
scuderia-ferrari-sf-24,Scuderia Ferrari SF-24 Scale Model Car,"<p>Premium collectible replica of the Scuderia Ferrari SF-24. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Ferrari, SF-24, Model Car, Scale Model",true,Scale,1:18,Stand Option,None,,,CAR-118-NON-SCUD,,shopify,50,deny,,4999.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
scuderia-ferrari-sf-24,Scuderia Ferrari SF-24 Scale Model Car,"<p>Premium collectible replica of the Scuderia Ferrari SF-24. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Ferrari, SF-24, Model Car, Scale Model",true,Scale,1:18,Stand Option,Desk Stand,,,CAR-118-DES-SCUD,,shopify,50,deny,,5998.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
scuderia-ferrari-sf-24,Scuderia Ferrari SF-24 Scale Model Car,"<p>Premium collectible replica of the Scuderia Ferrari SF-24. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Ferrari, SF-24, Model Car, Scale Model",true,Scale,1:8,Stand Option,None,,,CAR-18-NON-SCUD,,shopify,50,deny,,27494.5,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
scuderia-ferrari-sf-24,Scuderia Ferrari SF-24 Scale Model Car,"<p>Premium collectible replica of the Scuderia Ferrari SF-24. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Ferrari, SF-24, Model Car, Scale Model",true,Scale,1:8,Stand Option,Desk Stand,,,CAR-18-DES-SCUD,,shopify,50,deny,,28493.5,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
red-bull-racing-rb20,Red Bull Racing RB20 Scale Model Car,"<p>Premium collectible replica of the Red Bull Racing RB20. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Red Bull, RB20, Model Car, Scale Model",true,Scale,1:64,Stand Option,None,,,CAR-164-NON-RED-,,shopify,50,deny,,1499.7,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/redbull.png,1,,,,,,,,,,,,,,,,,,,,,,,,active
red-bull-racing-rb20,Red Bull Racing RB20 Scale Model Car,"<p>Premium collectible replica of the Red Bull Racing RB20. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Red Bull, RB20, Model Car, Scale Model",true,Scale,1:64,Stand Option,Desk Stand,,,CAR-164-DES-RED-,,shopify,50,deny,,2498.7,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
red-bull-racing-rb20,Red Bull Racing RB20 Scale Model Car,"<p>Premium collectible replica of the Red Bull Racing RB20. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Red Bull, RB20, Model Car, Scale Model",true,Scale,1:24,Stand Option,None,,,CAR-124-NON-RED-,,shopify,50,deny,,3499.3,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
